Model,SKU,Name,Brand,Url,Size,Processor Type,Processor,Price,Memory(GB),Storage,Color,Review Numbers,Average Ranking
XPS7590-7992SLV-PUS ,6377550 ,"XPS 15.6"" 4K Ultra HD Gaming Laptop",Dell,https://www.bestbuy.com/site/dell-xps-15-6-4k-ultra-hd-gaming-laptop-intel-core-i7-16gb-memory-nvidia-geforce-gtx-1650-512gb-ssd-silver/6377550.p?skuId=6377550,15.6,Intel,Intel Core i7,1699.99,NVIDIA GeForce GTX 1650,512GB SSD,Silver,1,5.0
I5491-5241SLV-PUS ,6377549 ,"Inspiron 2-in-1 14"" Touch-Screen Laptop",Dell,https://www.bestbuy.com/site/dell-inspiron-2-in-1-14-touch-screen-laptop-intel-core-i5-8gb-memory-256gb-solid-state-drive-silver/6377549.p?skuId=6377549,14,Intel,Intel Core i5,699.99,8,256GB Solid State Drive,Silver,4021,0
XPS7590-9725SLV-PUS ,6377543 ,"XPS 15.6"" 4K Ultra HD Laptop",Dell,https://www.bestbuy.com/site/dell-xps-15-6-4k-ultra-hd-laptop-intel-core-i9-32gb-memory-nvidia-geforce-gtx-1650-1tb-ssd-silver/6377543.p?skuId=6377543,15.6,Intel,Intel Core i9,2219.99,NVIDIA GeForce GTX 1650,1TB SSD,Silver,0,0
E5440-1586 ,6252012 ,"Latitude 14"" Laptop",Dell,https://www.bestbuy.com/site/dell-latitude-14-laptop-intel-core-i5-4gb-memory-500gb-hard-drive-pre-owned-black/6252012.p?skuId=6252012,14,Intel,Intel Core i5,276.99,500,Pre-owned,Black,1,5.0
I7588-7378BLK-PUS ,6212435 ,"G7 15.6"" Gaming Laptop",Dell,https://www.bestbuy.com/site/dell-g7-15-6-gaming-laptop-intel-core-i7-16gb-memory-nvidia-geforce-gtx-1060-128gb-solid-state-drive-1tb-hard-drive-licorice-black/6212435.p?skuId=6212435,15.6,Intel,Intel Core i7- 16GB Memory,959.99,NVIDIA GeForce GTX 1060,128GB Solid State Drive + 1TB Hard Drive,Licorice Black,823,4.5
1K0YX ,6346969 ,"Latitude 15.6"" Laptop",Dell,https://www.bestbuy.com/site/dell-latitude-15-6-laptop-intel-core-i5-8gb-memory-256gb-solid-state-drive-black/6346969.p?skuId=6346969,15.6,Intel,Intel Core i5,779.99,8,256GB Solid State Drive,Black,2,4.5
E6440-1563 ,6219212 ,"Latitude 14"" Laptop",Dell,https://www.bestbuy.com/site/dell-latitude-14-laptop-intel-core-i5-8gb-memory-500gb-hard-drive-pre-owned-black/6219212.p?skuId=6219212,14,Intel,Intel Core i5,293.99,500,Pre-Owned,Black,2,4.0
G7590-7183GRY-PUS ,6355498 ,"15.6"" Gaming Laptop",Dell,https://www.bestbuy.com/site/dell-15-6-gaming-laptop-intel-core-i7-16gb-memory-nvidia-geforce-rtx-2060-1tb-hard-drive-128gb-ssd-abyss-gray/6355498.p?skuId=6355498,15.6,Intel,Intel Core i7,1449.99,NVIDIA GeForce RTX 2060,1TB Hard Drive + 128GB SSD,Abyss Gray,5,3.6
V34805636GRY ,6350293 ,"Vostro 14"" Laptop",Dell,https://www.bestbuy.com/site/dell-vostro-14-laptop-intel-core-i5-8gb-memory-1tb-hard-drive/6350293.p?skuId=6350293,14,Intel,Intel Core i5,659.99,Intel Core i5,8GB Memory,1TB Hard Drive,4,5.0
I3593-7305BLK-PUS ,6381696 ,"Inspiron 15.6"" Laptop",Dell,https://www.bestbuy.com/site/dell-inspiron-15-6-laptop-intel-core-i7-8gb-memory-1tb-hdd-black/6381696.p?skuId=6381696,15.6,Intel,Intel Core i7,659.99,8,1TB HDD,Black,470,0
XPS7390-7206SLV-PUS ,6381699 ,"XPS 13.3"" 4K Ultra HD Touch-Screen Laptop",Dell,https://www.bestbuy.com/site/dell-xps-13-3-4k-ultra-hd-touch-screen-laptop-intel-core-i7-16gb-memory-256gb-ssd-platinum-silver-with-black-carbon-fiber/6381699.p?skuId=6381699,13.3,Intel,Intel Core i7,1599.99,16,256GB SSD,Platinum Silver With Black Carbon Fiber,470,0
I5593-7398SLV-PUS ,6381707 ,"Inspiron 15.6"" Laptop",Dell,https://www.bestbuy.com/site/dell-inspiron-15-6-laptop-intel-core-i7-8gb-memory-512gb-ssd-silver/6381707.p?skuId=6381707,15.6,Intel,Intel Core i7,749.99,8,512GB SSD,Silver,470,0
E7250-1568 ,6219211 ,"Latitude 12.5"" Laptop",Dell,https://www.bestbuy.com/site/dell-latitude-12-5-laptop-intel-core-i5-8gb-memory-500gb-solid-state-drive-pre-owned-black/6219211.p?skuId=6219211,12.5,Intel,Intel Core i5,380.99,500,Pre-Owned,Black,5,4.0
I3793-7480BLK-PUS ,6381717 ,"Inspiron 17.3"" Laptop",Dell,https://www.bestbuy.com/site/dell-inspiron-17-3-laptop-intel-core-i7-16gb-memory-512gb-ssd-black/6381717.p?skuId=6381717,17.3,Intel,Intel Core i7,779.99,16,512GB SSD,Black,470,0
E6440-31256 ,6297052 ,"Latitude 14"" Refurbished Laptop",Dell,https://www.bestbuy.com/site/dell-latitude-14-refurbished-laptop-intel-core-i5-8gb-memory-120gb-solid-state-drive-silver/6297052.p?skuId=6297052,14,Intel,Intel Core i5,305.99,8,120GB Solid State Drive,Silver,4021,0
LATI7490JHDTM ,6228609 ,"Latitude 14.1"" Laptop",Dell,https://www.bestbuy.com/site/dell-latitude-14-1-laptop-intel-core-i5-8gb-memory-256gb-solid-state-drive/6228609.p?skuId=6228609,14.1,Intel,Intel Core i5,1439.99,Intel Core i5,8GB Memory,256GB Solid State Drive,4,4.5
I3793-5841BLK-PUS ,6377554 ,"Inspiron 17.3"" Laptop",Dell,https://www.bestbuy.com/site/dell-inspiron-17-3-laptop-intel-core-i5-8gb-memory-1tb-hard-drive-black/6377554.p?skuId=6377554,17.3,Intel,Intel Core i5,639.99,8,1TB Hard Drive,Black,4021,0
TC6KM ,6350274 ,"11.6"" Chromebook",Dell,https://www.bestbuy.com/site/dell-11-6-chromebook-intel-celeron-4gb-memory-32gb-emmc-flash-memory/6350274.p?skuId=6350274,11.6,Intel,Intel Celeron,269.99,Intel Celeron,4GB Memory,32GB eMMC Flash Memory,4021,0
E5540-1559 ,6219227 ,"Latitude 15.6"" Laptop",Dell,https://www.bestbuy.com/site/dell-latitude-15-6-laptop-intel-core-i5-8gb-memory-500gb-solid-state-drive-pre-owned-black/6219227.p?skuId=6219227,15.6,Intel,Intel Core i5,426.99,500,Pre-Owned,Black,0,0
I7588-7385BLK-PUS ,6212436 ,"G7 15.6"" Gaming Laptop",Dell,https://www.bestbuy.com/site/dell-g7-15-6-gaming-laptop-intel-core-i7-8gb-memory-nvidia-geforce-gtx-1060-256gb-solid-state-drive-licorice-black/6212436.p?skuId=6212436,15.6,Intel,Intel Core i7,1025.99,NVIDIA GeForce GTX 1060,256GB Solid State Drive,Licorice Black,463,4.5
I5584-7851SLV-PUS ,6347448 ,"Inspiron 15.6"" Laptop",Dell,https://www.bestbuy.com/site/dell-inspiron-15-6-laptop-intel-core-i7-8gb-memory-256gb-solid-state-drive-silver/6347448.p?skuId=6347448,15.6,Intel,Intel Core i7,769.99,8,256GB Solid State Drive,Silver,4021,0
9V222 ,6350300 ,"11.6"" Chromebook",Dell,https://www.bestbuy.com/site/dell-11-6-chromebook-intel-celeron-4gb-memory-16gb-emmc-flash-memory/6350300.p?skuId=6350300,11.6,Intel,Intel Celeron,249.99,Intel Celeron,4GB Memory,16GB eMMC Flash Memory,4021,0
E6440-31208 ,6297065 ,"Latitude 14"" Refurbished Laptop",Dell,https://www.bestbuy.com/site/dell-latitude-14-refurbished-laptop-intel-core-i5-8gb-memory-1tb-hard-drive-silver/6297065.p?skuId=6297065,14,Intel,Intel Core i5,328.99,8,1TB Hard Drive,Silver,1,2.0
I3780-7780BLK-PUS ,6347451 ,"Inspiron 17.3"" Laptop",Dell,https://www.bestbuy.com/site/dell-inspiron-17-3-laptop-intel-core-i7-16gb-memory-2tb-hard-drive-256gb-solid-state-drive-black/6347451.p?skuId=6347451,17.3,Intel,Intel Core i7,0,16,2TB Hard Drive + 256GB Solid State Drive,Black,35,0
E5440.8.128.PRO ,6301850 ,"Latitude 14"" Refurbished Laptop",Dell,https://www.bestbuy.com/site/dell-latitude-14-refurbished-laptop-intel-core-i5-8gb-memory-128gb-solid-state-drive-black/6301850.p?skuId=6301850,14,Intel,Intel Core i5,279.99,8,128GB Solid State Drive,Black,2,4.0
I5482-7069SLV-PUS ,6300711 ,"Inspiron 2-in-1 14"" Touch-Screen Laptop",Dell,https://www.bestbuy.com/site/dell-inspiron-2-in-1-14-touch-screen-laptop-intel-core-i7-8gb-memory-256gb-solid-state-drive-silver/6300711.p?skuId=6300711,14,Intel,Intel Core i7,799.99,8,256GB Solid State Drive,Silver,12,4.3
I5584-7773SLV-PUS ,6347450 ,"Inspiron 15.6"" Touch-Screen Laptop",Dell,https://www.bestbuy.com/site/dell-inspiron-15-6-touch-screen-laptop-intel-core-i7-12gb-memory-512gb-solid-state-drive-silver/6347450.p?skuId=6347450,15.6,Intel,Intel Core i7,959.99,12,512GB Solid State Drive,Silver,12,4.6
LATI3400YHXR9 ,6350590 ,"Latitude 14"" Laptop",Dell,https://www.bestbuy.com/site/dell-latitude-14-laptop-intel-core-i7-8gb-memory-256gb-solid-state-drive/6350590.p?skuId=6350590,14,Intel,Intel Core i7,947.99,Intel Core i7,8GB Memory,256GB Solid State Drive,2,3.5
XPS9380-7011SLV-PUS ,6379300 ,"XPS 13.3"" 4K Ultra HD Touch-Screen Laptop",Dell,https://www.bestbuy.com/site/dell-xps-13-3-4k-ultra-hd-touch-screen-laptop-intel-core-i7-8gb-memory-512gb-ssd-platinum-silver/6379300.p?skuId=6379300,13.3,Intel,Intel Core i7,1379.99,8,512GB SSD,Platinum Silver,470,0
CRM3400TR22G ,6350292 ,"14"" Chromebook",Dell,https://www.bestbuy.com/site/dell-14-chromebook-intel-celeron-4gb-memory-64gb-emmc-flash-memory/6350292.p?skuId=6350292,14,Intel,Intel Celeron,369.99,Intel Celeron,4GB Memory,64GB eMMC Flash Memory,4021,0
LATI55906K77V ,6228610 ,"Latitude 15.6"" Laptop",Dell,https://www.bestbuy.com/site/dell-latitude-15-6-laptop-intel-core-i5-8gb-memory-256gb-solid-state-drive/6228610.p?skuId=6228610,15.6,Intel,Intel Core i5,1299.99,Intel Core i5,8GB Memory,256GB Solid State Drive,1,5.0
CRM3100NRCK2 ,6350298 ,"2-in-1 11.6"" Touch-Screen Chromebook",Dell,https://www.bestbuy.com/site/dell-2-in-1-11-6-touch-screen-chromebook-intel-celeron-4gb-memory-32gb-emmc-flash-memory/6350298.p?skuId=6350298,11.6,Intel,Intel Celeron,354.99,Intel Celeron,4GB Memory,32GB eMMC Flash Memory,4021,0
CRM3400K7HM4 ,6350296 ,"14"" Chromebook",Dell,https://www.bestbuy.com/site/dell-14-chromebook-intel-celeron-4gb-memory-32gb-emmc-flash-memory/6350296.p?skuId=6350296,14,Intel,Intel Celeron,329.99,Intel Celeron,4GB Memory,32GB eMMC Flash Memory,4021,0
XPS9570MCMG6 ,6346465 ,"XPS 15.6"" Laptop",Dell,https://www.bestbuy.com/site/dell-xps-15-6-laptop-intel-core-i5-8gb-memory-nvidia-geforce-gtx-1050-1tb-hard-drive-128gb-solid-state-drive-silver/6346465.p?skuId=6346465,15.6,Intel,Intel Core i5,0,NVIDIA GeForce GTX 1050,1TB Hard Drive + 128GB Solid State Drive,Silver,2,4.4
CRM5190640V4 ,6253000 ,"11.6"" Chromebook",Dell,https://www.bestbuy.com/site/dell-11-6-chromebook-intel-celeron-4gb-memory-16gb-emmc-flash-memory-gray/6253000.p?skuId=6253000,11.6,Intel,Intel Celeron,276.99,4,16GB eMMC Flash Memory,Gray,20077,0
